mode,frac,n_train,test_r2,mae,rmse
recent,0.1,4524,0.636,116.7,157.1
recent,0.25,11311,0.6533,111.2,153.4
recent,0.5,22622,0.6704,107.0,149.5
recent,0.75,33933,0.6775,105.4,147.9
recent,1.0,45244,0.6804,104.8,147.3
