ts_wib,target_ts_60m,observed_target_ts_60m,target_ghi_60m,target_solar_elev_deg_60m,year,month,day,hour,minute,hour_sin,hour_cos,month_sin,month_cos,daylight_flag,sun_above_5deg_flag,ghi_now,dhi_now,dni_now,reflected_now,nett_rad_now,solar_elev_deg,asrs_n_obs_1min,asrs_ok_obs,aws_temp_c,aws_temp_min_c,aws_temp_max_c,aws_rh_pct,aws_pressure_hpa,aws_ws_avg,aws_ws_max,aws_wd_deg,aws_rain_mm,aws_sr_avg_w_m2,clp_cot,clp_cth_m,clp_ctt_k,clp_cer,clp_cloud_present,clp_clear_flag,clp_thin_cloud_flag,clp_moderate_cloud_flag,clp_thick_cloud_flag,synop_temp_c,synop_dewpoint_c,synop_rh_pct,synop_wind_speed,synop_wind_dir_deg,synop_visibility,synop_rainfall_24h_mm,synop_solar_rad_24h,has_asrs,has_aws,has_clp,has_synop,master_qc_status,asrs_qc_status,aws_qc_status,clp_qc_status,synop_qc_status,ghi_lag_10m,ghi_lag_30m,ghi_lag_60m,ghi_lag_120m,ghi_lag_180m,dhi_lag_60m,dni_lag_60m,aws_temp_lag_60m,aws_rh_lag_60m,aws_pressure_lag_60m,clp_cot_lag_60m,clp_cth_lag_60m,ghi_roll_30m_mean,ghi_roll_30m_min,ghi_roll_30m_max,ghi_roll_30m_std,ghi_roll_60m_mean,ghi_roll_60m_min,ghi_roll_60m_max,ghi_roll_60m_std,ghi_roll_180m_mean,ghi_roll_180m_min,ghi_roll_180m_max,ghi_roll_180m_std,dhi_roll_180m_mean,dni_roll_180m_mean,aws_temp_roll_180m_mean,aws_rh_roll_180m_mean,aws_ws_roll_180m_mean,aws_rain_sum_180m,clp_cot_roll_180m_mean,clp_cth_roll_180m_mean,ghi_delta_10m,ghi_delta_60m,aws_temp_delta_60m,aws_rh_delta_60m,solar_elev_sin,solar_elev_sin_clip,clear_sky_ghi_now,clear_sky_ghi_target_60m,kt_now,ghi_to_aws_sr_ratio,dhi_fraction,dni_fraction,diffuse_to_global_ratio,temp_rh_interaction,vpd_proxy,wind_u,wind_v,clp_cot_delta_60m,clp_cth_delta_60m,clp_cot_delta_180m,clp_cth_delta_180m,ghi_roll_180m_range,ghi_roll_60m_range,ghi_ramp_ratio_60m,aws_temp_range,cloud_opacity_proxy,cloud_height_temp_interaction,pred_raw,persistence,residual_raw,pred_raw_sq,pred_clear_ratio,raw_minus_now,pred_isotonic,pred_bin_bias,pred_high_residual_cal,pred_high_residual_cal_full,pred_blend_raw_highcal_50,pred_blend_iso_highcal_50,best_prediction,best_error,raw_error
2025-01-02 11:20:00,2025-01-02 12:20:00,2025-01-02 12:20:00,0.0,70.71017750933251,2025,1,2,11,20,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,1,1,951.3,824.3,61.36800000000001,173.01000000000002,778.36,67.42576454958261,10,10.0,29.53,24.7,30.6,76.16000000000001,1009.7926223264232,0.0,1.1,259.9,0.0,978.0,0.2935999929904938,9.419920921325684,243.5459899902344,,1,1,1,0,0,29.8,24.7,74.0,6.0,290.0,8.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,941.2,911.0,854.2,614.75,473.34,792.26,69.89,29.61,72.88000000000001,1010.0684019993012,0.4084615111351013,4.412230968475342,939.7333333333332,926.7,951.3,12.365408741053903,916.4499999999999,874.0,951.3,29.13985243613977,763.6005555555556,535.02,951.3,146.6517042869309,697.6654333333333,79.11205555555557,29.501666666666665,73.435,0.015611111111111112,0.0,0.6146058107123655,7.862335513619816,10.099999999999909,97.09999999999991,-0.0799999999999983,3.280000000000001,0.9233829322348414,0.9233829322348414,1015.7212254583255,1038.2456109420314,0.9365758794404866,0.9726993865030674,0.8664984757699989,0.0645096184169032,0.8664984757699989,2249.0048000000006,7.039951999999997,-0.0,-0.0,-0.11486151814460754,5.007689952850342,-0.32100581772187176,1.5575854077058677,416.28,77.29999999999995,0.1136736127370638,5.900000000000002,0.2935999929904938,2294.1839664139848,971.310518556058,951.3,-971.310518556058,943444.1234576383,0.9355305799701468,20.01051855605806,961.043953488372,996.572183722434,967.413196671148,966.114089376178,969.361857613603,964.22857507976,971.310518556058,971.310518556058,971.310518556058
2025-01-02 11:30:00,2025-01-02 12:30:00,2025-01-02 12:30:00,0.0,70.25037342725548,2025,1,2,11,30,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,1,1,960.2,829.9,59.00899999999999,175.12999999999997,785.0799999999999,68.61107462881553,10,10.0,29.59,24.7,30.6,76.28,1009.7376153831043,0.0,1.1,245.3,0.0,990.0,0.348333328962326,8.839333534240723,247.14666748046875,,1,1,1,0,0,29.8,24.7,74.0,6.0,290.0,8.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,951.3,926.7,874.0,744.35,535.02,799.8199999999999,66.261,29.65,73.08000000000001,1010.086950789128,0.4033333361148834,3.246166944503784,950.9,941.2,960.2,9.506313691436878,930.8166666666666,894.5,960.2,24.977222957459986,787.2216666666668,561.28,960.2,141.83116048772249,716.9556166666666,77.122,29.550555555555555,73.54444444444445,0.015611111111111112,0.0,0.5449355805621428,7.728971789864933,8.900000000000091,86.20000000000005,-0.05999999999999872,3.1999999999999886,0.9311263250422551,0.9311263250422551,1024.2389575464806,1035.2960393825058,0.9374765458054016,0.9698989898989899,0.8642991043532596,0.06145490522807747,0.8642991043532596,2257.1252,7.0187479999999995,-0.0,-0.0,-0.05500000715255743,5.5931665897369385,-0.19660225159981676,1.1103617443757896,398.9200000000001,65.70000000000005,0.09862700228832957,5.900000000000002,0.348333328962326,2184.6118257359485,967.4161295645357,960.2,-967.4161295645357,935893.9677416265,0.9344342997212116,7.216129564535663,961.043953488372,992.6777947309117,968.5408862091771,968.9158050907242,967.9785078868564,964.7924198487746,967.4161295645357,967.4161295645357,967.4161295645357
2025-01-02 11:40:00,2025-01-02 12:40:00,2025-01-02 12:40:00,0.0,69.51400341928613,2025,1,2,11,40,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,1,1,966.5714285714286,822.1714285714286,72.95571428571428,175.54285714285714,791.1142857142858,69.5781007631603,10,7.0,29.97,24.7,30.6,74.59,1009.491993340193,0.029,1.1,251.6,0.0,1000.0,0.4393333196640014,7.992268085479736,253.1493225097656,,1,1,1,0,0,29.8,24.7,74.0,6.0,290.0,8.0,,,True,True,True,True,warn_partial_qc,warn_partial_asrs_qc,ok,ok,ok,960.2,941.2,894.5,655.18,561.28,805.4,66.43700000000001,29.45,73.60000000000001,1010.0012747011174,0.3838461339473724,3.050384998321533,959.3571428571428,951.3,966.5714285714286,7.670524022223663,942.8285714285713,911.0,966.5714285714286,21.038516669990496,809.7378571428573,589.4300000000001,966.5714285714286,135.89883971393664,733.7982126984126,76.24509523809523,29.60944444444444,73.63222222222223,0.017222222222222226,0.0,0.48997658491134644,7.550187223097858,6.37142857142851,72.07142857142856,0.5199999999999996,0.9899999999999949,0.9371486919905174,0.9371486919905174,1030.863561189569,1030.43352937539,0.9376327430334715,0.9665714285714285,0.8506059710316287,0.07547886491279929,0.8506059710316287,2235.4623,7.615376999999999,-0.027517404337690406,-0.009153822071465966,0.05548718571662903,4.941883087158203,-0.050643265247345026,0.4420808623818786,377.1414285714285,55.571428571428555,0.08057174798370996,5.900000000000002,0.4393333196640014,2023.2372511556166,958.596538114212,966.5714285714286,-958.596538114212,918907.3228845518,0.9302846916241915,-7.974890457216588,954.7681818181818,983.858203280588,957.8203708772529,957.5616484649332,958.2084544957324,956.2942763477174,958.596538114212,958.596538114212,958.596538114212
2025-08-15 12:50:00,2025-08-15 13:50:00,2025-08-15 13:50:00,1049.3,59.50173268727174,2025,8,15,12,50,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,1,1,894.9,173.46,758.23,173.5,721.4,69.43659375286741,10,10.0,30.09,24.7,30.5,75.80000000000001,1008.9317481536699,2.427,4.2,252.8,0.0,923.0,10.97816276550293,9.112836837768556,246.00938415527344,48.51139831542969,0,0,0,0,1,30.5,25.4,74.0,6.0,240.0,6.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,905.5,944.4,931.5,637.08,733.55,134.56,839.1,29.75,75.46000000000001,1009.821642231796,6.5729289054870605,5.2346062660217285,901.1,894.9,905.5,5.524490926773288,918.2333333333332,894.9,944.4,19.787639239350007,736.306111111111,328.9,944.4,219.23533131261408,255.33833333333334,505.7615055555555,29.472777777777782,75.4688888888889,2.0100555555555553,0.0,7.665041155285305,5.731829775704278,-10.600000000000023,-36.60000000000002,0.33999999999999986,0.3400000000000034,0.9362840595501316,0.9362840595501316,1029.9124655051448,947.8089594212847,0.8689087956237865,0.9695557963163597,0.1938317130405632,0.8472790255894513,0.1938317130405632,2280.822,7.281779999999997,-2.318460584870928,-0.7176834374569017,4.405233860015869,3.878230571746828,3.3131216102176246,3.3810070620642785,615.5,49.5,-0.03929146537842192,5.800000000000001,0.0,2241.843378366932,309.0081250705312,894.9,740.2918749294688,95486.02135960506,0.32602363799051454,-585.8918749294687,303.7080662650602,318.55450460743475,286.64339153920054,279.18848036209033,297.8257583048659,295.17572890213034,309.0081250705312,-740.2918749294688,-740.2918749294688
2025-08-15 13:00:00,2025-08-15 14:00:00,2025-08-15 14:00:00,1032.8,57.47755021018414,2025,8,15,13,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844384,-0.5000000000000004,1,1,927.8,246.21999999999997,717.6899999999999,182.37,745.38,68.16724781805897,10,10.0,29.93,24.7,30.5,76.42,1007.6,2.88,4.6,247.6,0.0,953.0,10.788806915283203,9.168615341186523,245.4508514404297,49.76536560058594,0,0,0,0,1,30.4,25.5,75.0,6.0,270.0,7.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,894.9,902.9,928.3,772.7900000000001,655.28,124.12,842.5,29.92,74.31,1008.1,7.294174671173096,5.55892276763916,909.4,894.9,927.8,16.793153366774188,918.15,894.9,944.4,19.73775569815372,751.446111111111,328.9,944.4,222.6932662850245,249.6872222222222,527.16845,29.519444444444446,75.44111111111113,2.101666666666667,0.0,7.9741650687323675,5.917376597722371,32.89999999999998,-0.5,0.00999999999999801,2.1099999999999994,0.9282733889312822,0.9282733889312822,1021.1007278244105,927.49894035481,0.9086273025941329,0.9735571878279118,0.26538046992886394,0.7735395559387799,0.26538046992886394,2287.2506,7.057493999999999,-2.662692576803462,-1.097482683888789,3.4946322441101074,3.6096925735473633,2.8146418465508356,3.2512387434641523,615.5,49.5,-0.0005386189809328881,5.800000000000001,0.0,2250.444442024018,324.44551048721246,927.8,708.3544895127875,105264.88927530788,0.3498068799551377,-603.3544895127875,320.77950199203184,333.99189002411595,307.3299790687693,301.62480192928825,315.88774477799086,314.0547405304006,324.44551048721246,-708.3544895127875,-708.3544895127875
2025-12-07 13:10:00,2025-12-07 14:10:00,2025-12-07 14:10:00,1040.0,52.98483502889526,2025,12,7,13,10,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0,1,1,1147.7,360.14,887.71,235.96999999999997,911.7,64.43853108974834,10,10.0,27.82,25.8,28.9,87.60000000000001,1009.365,2.508,7.9,255.8,0.0,385.0,14.857429504394531,9.674771308898926,241.08824157714844,49.27741622924805,0,0,0,0,1,27.7,25.0,85.0,7.0,240.0,5.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,669.1899999999999,337.63,853.3100000000001,637.5,993.3,603.4,257.17,28.18,86.30000000000001,1010.025,13.462416648864746,7.053741931915283,749.4266666666666,431.39,1147.7,364.8334497182699,607.7366666666667,337.63,1147.7,293.2874813330202,741.8983333333332,337.63,1147.7,237.5295362996061,480.5905555555555,286.76234444444447,27.926666666666662,86.51611111111112,3.1200555555555556,0.0,13.726708677079943,6.760743061701457,478.5100000000001,294.39,-0.35999999999999943,1.2999999999999972,0.9021228976948884,0.9021228976948884,992.3351874643772,878.3238139181572,1.1565648527818633,2.981038961038961,0.31379280299729895,0.7734686764834016,0.31379280299729895,2437.032,3.449679999999998,-2.4313689375370084,-0.6152309237840365,1.3950128555297852,2.6210293769836426,1.1307208273145886,2.914028247197469,810.07,810.07,0.3449977147812635,3.099999999999998,0.0,2332.473602523489,338.10280776919245,1147.7,701.8971922308076,114313.5086214115,0.3849409550458769,-809.5971922308077,336.70227325581396,347.649187306096,291.55564256889545,276.0399208354631,314.829225169044,314.12895791235474,338.10280776919245,-701.8971922308076,-701.8971922308076
2025-10-24 09:10:00,2025-10-24 10:10:00,2025-10-24 10:10:00,41.698,64.0220862483251,2025,10,24,9,10,0.7071067811865476,-0.7071067811865475,-0.8660254037844386,0.5000000000000001,1,1,946.8,430.95,702.0300000000001,173.75,773.0,49.595006594712444,10,10.0,29.26,24.6,29.8,70.72,1011.2,0.359,1.6,141.5,0.0,744.6,4.367203235626221,7.112788200378418,260.0566101074219,11.65049934387207,0,0,0,1,0,28.6,24.5,79.0,2.0,170.0,5.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,550.91,489.75,308.38,114.64000000000001,17.344,299.12,6.2631,27.19,80.78,1010.98,4.960330009460449,7.72987699508667,637.49,414.76000000000005,946.8,276.3850804584067,516.0316666666666,315.72999999999996,946.8,226.641493413423,274.4380555555556,24.716,946.8,230.43528344404618,219.01566666666665,74.40260555555557,26.162222222222226,88.17722222222221,0.283,151.0,7.896559350630817,7.729665896471809,395.89,638.42,2.0700000000000003,-10.060000000000002,0.7614818201118643,0.7614818201118643,837.6300021230506,988.859258026413,1.1303320053009656,1.2715551974214343,0.4551647655259823,0.7414765525982258,0.4551647655259823,2069.2672000000002,8.567328000000002,0.22348275455290545,-0.2809563283100166,-0.5931267738342285,-0.617088794708252,-3.529356115004596,-0.6168776960933906,922.084,631.0699999999999,2.0702380180297033,5.199999999999999,0.0,1849.7275878024811,741.9493550751423,946.8,-700.2513550751423,550488.8454964196,0.7503083467671032,-204.85064492485765,726.7605878136202,765.6764909986889,652.3262385248104,622.4518663413663,697.1377967999763,689.5434131692152,741.9493550751423,700.2513550751423,700.2513550751423
2025-08-23 09:50:00,2025-08-23 10:50:00,2025-08-23 10:50:00,137.90000000000003,64.85569360502689,2025,8,23,9,50,0.7071067811865476,-0.7071067811865475,-0.8660254037844384,-0.5000000000000004,1,1,562.69,484.68999999999994,78.39789999999999,111.77000000000001,450.93999999999994,52.007501117346024,10,10.0,29.58,25.6,29.8,69.84,1010.0063744989951,1.759,2.7,284.6,0.0,610.4,3.518558979034424,3.449347734451294,280.2246398925781,7.844130039215088,0,0,0,1,0,29.4,23.9,73.0,3.0,280.0,6.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,638.49,366.39,401.28999999999996,242.98000000000002,62.3,351.16999999999996,61.653999999999996,29.46,72.24000000000001,1009.9344211916838,6.182143211364746,3.52561616897583,553.3033333333333,458.7299999999999,638.49,90.2468643961293,519.7166666666666,366.39,638.49,94.9085871071036,363.66444444444437,90.22,638.49,171.8838231522615,275.2811111111111,129.91937222222222,28.503888888888884,76.92388888888891,0.7443333333333333,0.2,4.115196185953477,4.940085831810446,-75.79999999999995,161.4000000000001,0.11999999999999744,-2.4000000000000057,0.7880913487582105,0.7880913487582105,866.9004836340316,995.764547873747,0.6490825770926018,0.921838138925295,0.8613801560361831,0.13932698288578077,0.8613801560361831,2065.8672,8.921327999999999,-1.7022004308777874,0.4433900011496368,-2.6635842323303223,-0.07626843452453613,-0.5966372069190529,-1.4907380973591522,548.27,272.1,0.402202895661492,4.199999999999999,0.0,966.592226750894,830.2731301202784,562.69,-692.3731301202783,689353.4705997248,0.8338046698822107,267.5831301202784,833.5869139465873,865.4846124693466,882.1917567004016,899.4979655604426,856.23244341034,857.8893353234944,830.2731301202784,692.3731301202783,692.3731301202783
2025-08-23 10:00:00,2025-08-23 11:00:00,2025-08-23 11:00:00,122.09,66.75542078591438,2025,8,23,10,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844384,-0.5000000000000004,1,1,442.57000000000005,428.05,10.4034,86.08800000000001,356.48,54.26018870680061,10,10.0,29.6,25.6,29.8,69.31,1010.8000000000001,1.828,2.7,274.6,0.0,513.2,3.4725492000579834,3.199941396713257,281.54107666015625,8.73871898651123,0,0,0,1,0,29.7,25.6,78.0,3.0,260.0,7.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,562.69,458.7299999999999,561.4,390.5,90.22,410.33000000000004,172.18900000000002,29.33,71.78,1010.8000000000001,5.5267252922058105,3.5268943309783936,547.9166666666666,442.57000000000005,638.49,98.7919537884201,499.91166666666663,366.39,638.49,96.84924293285245,383.2394444444444,138.6,638.49,158.44943496538465,294.33444444444444,129.09599444444444,28.73666666666666,75.48555555555555,0.8432222222222222,0.0,4.033189296722412,4.603208107106826,-120.12,-118.82999999999993,0.2700000000000031,-2.469999999999999,0.8116778641941572,0.8116778641941572,892.845650613573,1010.7114082724094,0.49568478011385425,0.862373343725643,0.9671916307024877,0.02350678988634566,0.9671916307024877,2051.576,9.08424,-1.82211178981802,0.14660363367315438,-2.054176092147827,-0.3269529342651367,-0.5606400966644287,-1.4032667103935692,499.89,272.1,-0.2116672604203775,4.199999999999999,0.0,900.9149460800545,807.6586231140426,442.57000000000005,-685.5686231140426,652312.4514904711,0.7990991459120451,365.08862311404255,806.5521454545454,842.8701054631108,892.6108541522336,920.9282644982973,850.1347386331381,849.5814998033895,807.6586231140426,685.5686231140426,685.5686231140426
2025-08-23 10:10:00,2025-08-23 11:10:00,2025-08-23 11:10:00,163.37,68.53480578642508,2025,8,23,10,10,0.49999999999999994,-0.8660254037844387,-0.8660254037844384,-0.5000000000000004,1,1,589.3299999999999,488.0,100.844,115.47,473.84,56.47995377031132,10,10.0,29.42,25.6,29.8,70.30000000000001,1009.9575612228219,1.822,2.7,282.5,0.0,490.0,2.832897186279297,2.873626470565796,283.2580261230469,10.722121238708496,0,0,0,1,0,29.7,25.6,78.0,3.0,260.0,7.0,,,True,True,True,True,ok_all_sources,ok,ok,ok,ok,442.57000000000005,638.49,530.5999999999999,467.23,152.28,403.92999999999995,140.314,29.47,71.64,1010.0120434447464,5.563185214996338,3.583805561065674,531.5300000000001,442.57000000000005,589.3299999999999,78.18461229679401,509.7,366.39,638.49,103.32267418142062,407.5199999999999,138.6,638.49,154.41065069177972,314.68888888888887,124.38232777777779,28.939444444444444,74.19111111111111,0.8992222222222223,0.0,4.016663845847635,4.243545924915987,146.75999999999988,58.73000000000002,-0.04999999999999716,-1.3399999999999892,0.833692663343571,0.833692663343571,917.061929677928,1023.7040405198502,0.642628355761069,1.2027142857142856,0.8280589822340625,0.17111635246805695,0.8280589822340625,2068.2260000000006,8.737739999999997,-1.7788113249725188,0.39435297659522267,-2.730288028717041,-0.7101790904998779,-1.183766659568338,-1.3699194543501907,499.89,272.1,0.11068601583113462,4.199999999999999,0.0,813.9777618674052,847.8415905257499,589.3299999999999,-684.4715905257499,718835.3626252334,0.82820967483454,258.51159052574997,854.0791603053435,883.0530728748181,897.0035475471607,913.3908665542976,872.4225690364553,875.5413539262521,847.8415905257499,684.4715905257499,684.4715905257499
