model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,experiment,test_rows
lgbm_residual,4350,28.457842639338473,49.82350332078758,0.8185338990128078,7.1270938934507315,0.599325270395435,seg_solar_low_sun,4350
lgbm_direct,4350,28.137223363874142,50.523904167751816,0.813396068136547,3.1557928206615395,0.5936927295007222,seg_solar_low_sun,4350
blend_30persistence_70residual,4350,36.69232447778683,56.36654099563937,0.7677424961823163,-9.901588957343114,0.5467069341398648,seg_solar_low_sun,4350
blend_50persistence_50residual,4350,49.38046627693305,71.85999190416216,0.6225135971753216,-21.254044191205672,0.4221104316931188,seg_solar_low_sun,4350
lgbm_residual,8756,54.08616915125646,87.18304525045205,0.7872420632276838,-2.1255081068241535,0.5695084712882905,seg_hour_afternoon,8756
lgbm_direct,6030,59.19904034428073,87.92110297140381,0.8248689973446486,-2.688106540813909,0.5545675778105434,seg_solar_medium_sun,6030
lgbm_residual,6030,60.999439537255995,88.3809893013524,0.8230321005957663,-1.124074919969037,0.5522376675278273,seg_solar_medium_sun,6030
lgbm_direct,8756,55.267534132434044,90.66086665769093,0.7699292366007009,3.752406270887572,0.5523357211292702,seg_hour_afternoon,8756
blend_70persistence_30residual,4350,66.4645988792127,91.48390137555222,0.38819032713899326,-32.606499425068236,0.2642972692864294,seg_solar_low_sun,4350
blend_30persistence_70residual,8756,65.7445291218636,97.75076508316778,0.7325380347318425,39.8913116749633,0.5173272948598466,seg_hour_afternoon,8756
blend_30persistence_70residual,6030,78.26928581968615,103.88005789144559,0.7555212340601988,-6.667416101635845,0.4737151350476424,seg_solar_medium_sun,6030
blend_50persistence_50residual,8756,84.64440241627219,121.24687321581938,0.5885066737353843,67.90252486282161,0.40130845794329184,seg_hour_afternoon,8756
persistence,4350,95.76218457471265,124.3490034172096,-0.13034652359549947,-49.63518227586207,0.0,seg_solar_low_sun,4350
blend_50persistence_50residual,6030,99.7669519263159,125.73199953755201,0.6418471402162365,-10.362976889413694,0.3630072052331852,seg_solar_medium_sun,6030
lgbm_residual,8129,93.7664438170187,125.91587866958906,0.7304044714788755,-0.3534507999941551,0.4041673685113635,seg_hour_morning,8129
lgbm_direct,8129,95.37249162044077,127.46178723524164,0.7237440177031951,6.903185012517,0.3968521452174798,seg_hour_morning,8129
lgbm_residual,25336,96.0259675429583,135.45553831820925,0.8188183342355728,-1.139942857803657,0.3848181967526454,all_daylight,25336
blend_30persistence_70residual,8129,102.4432812355415,136.1337551508087,0.6848746560774798,-46.7457979883389,0.3558164830125885,seg_hour_morning,8129
lgbm_direct,25336,95.56136672948506,136.89871925447807,0.8149370480433789,2.4315836002052453,0.3782638789166304,all_daylight,25336
lgbm_residual,21996,101.74078623516273,141.13827481935857,0.791995753343055,-1.836937788468088,0.38769259765489006,clp_required,21996
lgbm_direct,21996,101.95097668179375,141.31222048796212,0.7914827283158675,-0.050028797728358686,0.38693796025672056,clp_required,21996
blend_30persistence_70residual,25336,102.14458679433292,142.89978507501107,0.7983566675042538,-0.09217324429250001,0.35100957437716607,all_daylight,25336
blend_30persistence_70residual,21996,109.13342460813688,148.9961166346459,0.7681898269816225,1.915898791949619,0.35360252027428274,clp_required,21996
lgbm_direct,18737,113.76883264129556,150.02814869655813,0.7161096928541879,0.8354018707781469,0.37491185883472833,clp_high_sun,18737
lgbm_residual,18737,113.687811457229,150.23321889374338,0.7153330755347649,-3.693602923106798,0.37405743951754955,clp_high_sun,18737
blend_70persistence_30residual,8756,108.81500609314463,151.39538159948853,0.3584257058062087,95.91373805067988,0.2524414686659675,seg_hour_afternoon,8756
lgbm_direct,19245,115.63832840524984,152.02836194051127,0.7081022528548417,2.110534745121233,0.3665663511836955,high_sun,19245
blend_50persistence_50residual,8129,117.73994243376393,152.17539746754076,0.6062318607130414,-77.67402944723537,0.2799075980016753,seg_hour_morning,8129
lgbm_residual,19245,116.31180500142132,152.17576183270444,0.7075359564900646,-2.343862039643839,0.3659522022817716,high_sun,19245
blend_70persistence_30residual,6030,125.00582816870953,152.48186098011664,0.47323956678274004,-14.05853767719157,0.22748507035426613,seg_solar_medium_sun,6030
blend_30persistence_70residual,18737,118.97024981627824,158.16209698828288,0.6844923505969206,-0.9457400209971283,0.3410219877526539,clp_high_sun,18737
blend_50persistence_50residual,25336,114.81423031527048,158.49279968725722,0.7519496814152515,0.6063398313816445,0.28019269256987256,all_daylight,25336
blend_30persistence_70residual,19245,120.2371423598406,158.59714422120203,0.6823329011885603,-0.6533912008993891,0.3391971966705002,high_sun,19245
lgbm_residual,16622,124.20153242071007,159.78149357260105,0.6534244058829315,-4.996186359853497,0.3468341749608046,midday_08_15,16622
lgbm_direct,16622,124.34817407033074,160.20640541557614,0.6515786366004961,2.054429697674288,0.3450971909817454,midday_08_15,16622
lgbm_direct,13828,124.38735114355252,160.86391415287474,0.6162291074615309,0.05901381947465279,0.34051727230237117,clp_very_high_sun,13828
lgbm_residual,13828,126.07519293526751,162.63942884859824,0.6077107117113596,-0.27020756924366784,0.3332383167903836,clp_very_high_sun,13828
lgbm_direct,14289,128.927556582063,164.50484868245323,0.596392600263641,4.261542362971458,0.3254594881680124,very_high_sun,14289
lgbm_residual,14289,129.85505389350888,164.66197850815925,0.5956212060016614,-5.100416117670084,0.324815188416943,very_high_sun,14289
blend_30persistence_70residual,16622,126.39117507873294,165.44246390215258,0.6284314033986178,-0.17382706307019513,0.3236928694619682,midday_08_15,16622
blend_50persistence_50residual,21996,122.92231650168387,165.46470420475396,0.7141137111442508,4.417789845561467,0.28215600381195505,clp_required,21996
lgbm_residual,14956,129.50063915156878,166.42518413979982,0.6417298774088467,-1.3397244922107778,0.3312205620186899,seg_solar_high_sun,14956
lgbm_direct,14956,130.06397733037417,167.0305842542601,0.6391185986660285,4.486692876361513,0.3287877622570716,seg_solar_high_sun,14956
blend_30persistence_70residual,13828,127.22755501990454,167.766607251604,0.5825871521880579,5.921431487863543,0.31221877604121817,clp_very_high_sun,13828
blend_30persistence_70residual,14289,129.61349110494749,169.62862140776315,0.5708590295510789,1.57534742582802,0.3044498200377259,very_high_sun,14289
blend_30persistence_70residual,14956,130.21638299623584,171.06284368201844,0.6214843201887619,6.959727288455898,0.3125841317318635,seg_solar_high_sun,14956
blend_70persistence_30residual,8129,138.9875935356076,173.36152202318604,0.48895739727112997,-108.60226090613185,0.17965507641017153,seg_hour_morning,8129
blend_50persistence_50residual,19245,132.34741985354023,174.51072563130393,0.6153854057504091,0.4735893582636276,0.2728924768822245,high_sun,19245
blend_50persistence_50residual,18737,131.8854573113769,174.60256868785845,0.615491166585389,0.8861685804093675,0.27252321612978103,clp_high_sun,18737
lgbm_residual,8451,139.2649414230066,180.15638725036013,0.46841642545359163,-0.20627282689337928,0.26389036164683255,seg_hour_midday,8451
