model,type,r2_mean,r2_std,mae_mean,rmse_mean,n_seeds
catboost,GBM,0.6818,,104.6,146.9,1
lgbm,GBM,0.6787,,104.9,147.6,1
mlp,DL,0.6768,0.0021,105.7,148.1,3
transformer,DL,0.6735,0.0039,107.1,148.8,3
lstm,DL,0.6172,0.0043,115.9,161.2,3
