r2,mae,rmse,skill_vs_sp,model,seed,type
0.6818,104.6,146.9,0.2058,catboost,0,GBM
0.6787,104.9,147.6,0.2019,lgbm,0,GBM
0.6182,116.0,161.0,0.13,lstm,0,DL
0.6209,115.5,160.4,0.1331,lstm,1,DL
0.6124,116.2,162.2,0.1235,lstm,2,DL
0.679,105.2,147.6,0.2023,mlp,0,DL
0.6749,106.4,148.5,0.1972,mlp,1,DL
0.6764,105.5,148.2,0.199,mlp,2,DL
0.6693,108.3,149.8,0.1904,transformer,0,DL
0.6742,106.8,148.7,0.1964,transformer,1,DL
0.677,106.3,148.0,0.1998,transformer,2,DL
