pair,dR2,ci_lo,ci_hi,p,sig_0.05
catboost-lgbm,0.0025,0.0005,0.0045,0.0148,YES
catboost-mlp,0.0028,-0.0007,0.0066,0.122,no
catboost-transformer,0.0036,0.0001,0.0069,0.0408,YES
lgbm-mlp,0.0003,-0.0038,0.0047,0.8652,no
lgbm-transformer,0.0011,-0.0029,0.005,0.6284,no
mlp-transformer,0.0008,-0.0025,0.0037,0.7056,no
catboost-lstm,0.0475,0.0387,0.0551,0.0,YES
lgbm-lstm,0.0449,0.036,0.0528,0.0,YES
mlp-lstm,0.0446,0.036,0.0519,0.0,YES
transformer-lstm,0.0439,0.035,0.052,0.0,YES
