model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
persistence,2152,222.74449995353163,282.1263377421653,-1.1672257547622058,186.43537263011154,0.0,hour,14
persistence,2139,205.54700275829828,278.7159885671385,-0.4327286741131753,140.36429878447873,0.0,hour,13
persistence,1977,200.22094633282754,265.9796044282347,0.34378057958007024,1.2453988366211428,0.0,month,9
persistence,1880,194.03504303191488,252.13885177699532,0.3601048206534395,-3.990650053191489,0.0,month,10
persistence,2254,177.31201793636708,249.85901432615526,-17.384400015399184,-153.26389903663326,0.0,target_ghi_bin,900+
persistence,15201,188.70246293382954,248.75672352293083,0.1981530304340271,27.559381856456813,0.0,solar_segment,high
persistence,5261,188.64454242179895,246.25580278860463,-17.390577516044694,72.42618176793084,0.0,target_ghi_bin,100-300
persistence,2026,191.19761273445215,244.86636879030883,0.44722108364350877,1.2778817374136227,0.0,month,3
persistence,1943,186.14667014925374,241.5914594593328,0.3907599645932188,-0.9272716932578488,0.0,month,4
persistence,2143,196.48718743867667,239.7615240325161,-2.7335615242194278,187.9585883719478,0.0,hour,15
persistence,2161,167.79770194354464,237.14977877890615,-0.01986936959934127,51.09670703378066,0.0,hour,12
persistence,2174,176.36735024313313,233.98828954976216,0.048905313468353584,-106.77212853200157,0.0,hour,10
persistence,2157,187.64928280018543,232.781436032455,-0.05286560226863646,-131.4652846546129,0.0,hour,9
persistence,6696,195.7411657224877,231.9395802436641,-6.2432376730117,-2.3887630940528335,0.0,target_ghi_bin,300-600
persistence,2175,195.72548327458492,229.62509088903312,-0.5357553090615665,-171.90187499872286,0.0,hour,8
persistence,1990,181.05443834170856,229.5960869163555,0.4322408746976326,0.3550351256281404,0.0,month,8
persistence,23138,178.4556684215674,228.8604794665762,0.4348328739842239,0.9488306025189791,0.0,has_clp,True
persistence,578,174.16947768166094,227.7284183448202,0.4232406830727239,-75.11629775086506,0.0,has_clp,False
persistence,1870,171.74158572192516,224.2632258109867,0.5190410547665769,1.029678556149733,0.0,month,2
persistence,2130,156.0441095908786,222.5682847061268,0.09032135395211816,-28.05454580818243,0.0,hour,11
persistence,2014,176.0642163853029,221.09199236855406,0.4634155939247331,-0.612884707050645,0.0,month,11
persistence,6004,176.38955949737212,219.07267305376746,-5.46107145640197,-74.46307382115627,0.0,target_ghi_bin,600-900
persistence,2069,169.42018704688255,217.2228476447941,0.48291872303028516,-1.3987489608506534,0.0,month,12
