horizon_min,n_test,sp_r2,lgbm_r2,mae,rmse,skill_vs_sp
10,22241,0.7964,0.8469,66.2,107.5,0.133
20,22184,0.6805,0.7863,84.2,126.9,0.1821
30,22014,0.611,0.758,92.3,134.7,0.2113
40,21766,0.5424,0.7342,98.8,140.7,0.2378
50,21454,0.4833,0.7121,104.1,145.9,0.2536
60,21129,0.4266,0.6924,109.0,150.3,0.2676
