horizon_min,n_test,sp_r2,lgbm_r2,mae,rmse,skill_vs_sp,best_iter
10,22241,0.7964,0.8474,66.1,107.3,0.1342,237
20,22184,0.6805,0.7875,84.1,126.6,0.1845,339
30,22014,0.611,0.7585,92.3,134.6,0.2121,253
40,21766,0.5424,0.7347,98.7,140.6,0.2386,290
50,21454,0.4833,0.7142,103.8,145.4,0.2563,288
60,21129,0.4266,0.6926,109.1,150.3,0.2678,235
