model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,split
persistence,66247,164.71950768147175,213.51127925336246,0.5530429582310319,2.3148164300972485,0.0,train
lgbm_direct,66247,73.55912882105325,108.3854386216617,0.8848229322911112,0.025749062475545904,0.49236668432375186,train
lgbm_residual,66247,74.62198695199315,110.4929074307821,0.8803003331834262,0.492163442871534,0.4824961574996417,train
lgbm_direct_bagged,66247,73.47413276372188,108.23851085066364,0.8851349897001908,0.03400740338911153,0.4930548342496568,train
persistence,25976,167.1933507352941,220.25950307501043,0.5280736943079425,4.8372075415768405,0.0,valid
lgbm_direct,25976,83.25128261309243,127.83205549486915,0.841041256770386,1.3142274948659018,0.4196297834589442,valid
lgbm_residual,25976,82.88483296327964,127.24932140940375,0.8424872093494568,0.9952678272363652,0.42227545403083755,valid
lgbm_direct_bagged,25976,83.19091679606156,127.72659323825256,0.8413034325202937,1.3737905949458886,0.42010859256885424,valid
persistence,25336,167.50815615875538,220.18781700495907,0.5212516539209822,2.3526225205669453,0.0,test
lgbm_direct,25336,95.38465368021058,136.21850342391565,0.8167715430649917,0.6070160302376981,0.3813531317182379,test
lgbm_residual,25336,94.7239374669371,134.5537079040427,0.8212228311786378,2.887302280259263,0.3889139293251075,test
lgbm_direct_bagged,25336,95.1885236961149,136.23533998555476,0.8167262463133715,0.5826399007008554,0.3812766671714336,test
stacked_meta,25336,94.62823830746558,134.82843688002484,0.8204920388347552,1.2552093987706836,0.3876662264334624,test
blend_50_direct_50_bagged,25336,95.26354869723762,136.18951220108625,0.8168495273566265,0.594827965469276,0.38148479759886544,test
