model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,split
persistence,10970,163.6811416504149,212.77621145264035,0.558972274231635,3.699351055169654,0.0,train
lgbm_direct,10970,60.214399293016584,88.26158558010285,0.9241137313035527,-0.002692397712362825,0.5851905390290866,train
lgbm_residual,10970,62.32072934062922,91.78983131577169,0.9179253777524299,0.6507966535058878,0.5686085832193594,train
lgbm_direct_bagged,10970,59.887927216109595,87.82463671402188,0.9248632383876761,0.0207070865285523,0.5872440997307171,train
persistence,4301,165.38504010695186,218.07899321242704,0.5396350190553547,6.370793792141362,0.0,valid
lgbm_direct,4301,83.7498947092852,128.0303279468539,0.8413279878664722,1.1758888150281337,0.412917649421915,valid
lgbm_residual,4301,83.17830709180366,127.6997334920967,0.8421463621257654,0.7990840214068374,0.4144335884396414,valid
lgbm_direct_bagged,4301,83.5561177705748,127.70281727263753,0.8421387381183993,0.9630398111898113,0.4144194477812707,valid
persistence,4198,167.37733034778464,220.6551010519789,0.52053605200578,3.323005050023821,0.0,test
lgbm_direct,4198,94.12953151351739,136.30389108681155,0.8170448995781053,7.439804746265426,0.3822762744347209,test
lgbm_residual,4198,94.85757752118455,135.38392537940385,0.8195062294118829,-0.3394621328640775,0.38644552183947944,test
lgbm_direct_bagged,4198,94.36742659402401,136.3747566821247,0.8168546101832797,6.392481431212038,0.38195511442085617,test
stacked_meta,4198,93.72515798520114,134.97567009863877,0.8205931595038473,2.561107583787435,0.388295718271915,test
blend_50_direct_50_bagged,4198,94.2118665419314,136.27817167915538,0.8171139372677707,6.916143088738731,0.3823928337507464,test
