horizon_min,n_test,sp_r2,lgbm_r2,mae,rmse,skill_vs_sp,best_iter
10,23925,0.9025,0.9244,49.9,84.1,0.1193,336
20,23878,0.8232,0.8768,68.3,107.4,0.1652,475
30,23696,0.7612,0.8481,78.1,118.8,0.2025,633
40,23405,0.708,0.8258,85.2,126.7,0.2276,493
50,23059,0.658,0.8049,91.6,133.3,0.2448,550
60,22711,0.6136,0.7868,97.1,138.8,0.2571,490
