model,type,r2_mean,r2_std,mae_mean,rmse_mean,n_seeds
catboost,GBM,0.6757,,114.4,153.0,1
lgbm,GBM,0.6741,,115.0,153.4,1
mlp,DL,0.67,0.0008,116.3,154.4,3
transformer,DL,0.6671,0.0041,116.0,155.1,3
lstm,DL,0.5884,0.0014,131.1,172.4,3
