r2,mae,rmse,skill_vs_sp,model,seed,type
0.6757,114.4,153.0,0.2384,catboost,0,GBM
0.6741,115.0,153.4,0.2364,lgbm,0,GBM
0.5888,130.9,172.3,0.1423,lstm,0,DL
0.5869,131.3,172.7,0.1404,lstm,1,DL
0.5896,131.1,172.2,0.1431,lstm,2,DL
0.6691,116.4,154.6,0.2306,mlp,0,DL
0.6704,116.1,154.3,0.2321,mlp,1,DL
0.6704,116.5,154.3,0.2321,mlp,2,DL
0.6701,115.2,154.4,0.2318,transformer,0,DL
0.6687,115.6,154.7,0.2302,transformer,1,DL
0.6624,117.3,156.1,0.2228,transformer,2,DL
