r2,mae,rmse,skill_vs_sp,model,seed,type
0.792,96.5,137.0,0.2633,catboost,0,GBM
0.7899,97.0,137.7,0.2596,lgbm,0,GBM
0.7563,104.7,148.3,0.2025,lstm,0,DL
0.7495,105.1,150.3,0.1916,lstm,1,DL
0.7553,105.2,148.6,0.2009,lstm,2,DL
0.7902,97.7,137.6,0.2601,mlp,0,DL
0.7897,97.7,137.8,0.2593,mlp,1,DL
0.7903,97.5,137.6,0.2603,mlp,2,DL
0.7835,99.5,139.8,0.2484,transformer,0,DL
0.7854,99.5,139.1,0.2518,transformer,1,DL
0.7854,99.1,139.1,0.2518,transformer,2,DL
