model,type,r2_mean,r2_std,mae_mean,rmse_mean,n_seeds
catboost,GBM,0.792,,96.5,137.0,1
mlp,DL,0.7901,0.0003,97.6,137.7,3
lgbm,GBM,0.7899,,97.0,137.7,1
transformer,DL,0.7848,0.0011,99.4,139.3,3
lstm,DL,0.7537,0.0037,105.0,149.1,3
