fold,period,n_train_eff,n_test,best_iter,r2,mae,rmse,skill_vs_sp
1,2023-01..2023-07,16865,11157,232,0.5460331598858162,131.54466130536977,182.54227035935426,0.1972720419025661
2,2023-07..2024-01,28300,11465,440,0.6439139034740471,116.16066993850743,159.8592000553801,0.22001930883821508
3,2024-01..2024-07,39487,11218,331,0.6539143036343578,106.910779796846,146.22127327346305,0.19294712078576004
4,2024-07..2025-01,50984,11467,291,0.6923136830254584,101.43831730700519,145.2412528032827,0.23949545136821448
5,2025-01..end,62172,22559,259,0.6780971861437406,105.51407383567681,147.783786578998,0.2011974071192031
