loss,mae,val_loss,val_mae,learning_rate
0.025230340659618378,0.11638612300157547,0.021781660616397858,0.10405469685792923,0.0010000000474974513
0.02163863368332386,0.10490857064723969,0.021538706496357918,0.1027122363448143,0.0010000000474974513
0.02099800482392311,0.10245560854673386,0.022685322910547256,0.10486890375614166,0.0010000000474974513
0.020709708333015442,0.1012820228934288,0.02122107706964016,0.10257381945848465,0.0010000000474974513
0.020523492246866226,0.10060613602399826,0.021197473630309105,0.10125517845153809,0.0010000000474974513
0.02036213129758835,0.10004273802042007,0.02151324599981308,0.10018154978752136,0.0010000000474974513
0.020242856815457344,0.09955500066280365,0.021316656842827797,0.10238982737064362,0.0010000000474974513
0.019938448444008827,0.09855392575263977,0.021183811128139496,0.10212055593729019,0.0010000000474974513
0.019788289442658424,0.09788291901350021,0.021094469353556633,0.1017482653260231,0.0005000000237487257
0.019704710692167282,0.09754006564617157,0.02112562023103237,0.10080820322036743,0.0005000000237487257
0.019652610644698143,0.09735143184661865,0.021137258037924767,0.10101640224456787,0.0005000000237487257
0.019605236127972603,0.09701116383075714,0.020960718393325806,0.10067632794380188,0.0005000000237487257
0.019534647464752197,0.09694510698318481,0.020994732156395912,0.10022212564945221,0.0005000000237487257
0.019516989588737488,0.09677664935588837,0.021150607615709305,0.10031420737504959,0.0005000000237487257
0.019437862560153008,0.09659235179424286,0.020917531102895737,0.10029394924640656,0.0005000000237487257
0.019413353875279427,0.09645887464284897,0.02092178910970688,0.10194677859544754,0.0005000000237487257
0.019254351034760475,0.09595350921154022,0.020897990092635155,0.10034938901662827,0.0002500000118743628
0.019277123734354973,0.09589072316884995,0.02088290825486183,0.1005517914891243,0.0002500000118743628
0.019223803654313087,0.09573858976364136,0.020941535010933876,0.10069320350885391,0.0002500000118743628
0.019250554963946342,0.09581917524337769,0.02090032398700714,0.10038195550441742,0.0002500000118743628
0.01918274350464344,0.09548527002334595,0.020882921293377876,0.10038134455680847,0.0001250000059371814
0.019165704026818275,0.09527122974395752,0.020891640335321426,0.10040249675512314,0.0001250000059371814
0.0191605556756258,0.09532645344734192,0.0208743866533041,0.10040304064750671,0.0001250000059371814
0.019023125991225243,0.09495958685874939,0.020988602191209793,0.1004299521446228,0.0001250000059371814
0.019001778215169907,0.0947151631116867,0.021181639283895493,0.10090786963701248,6.25000029685907e-05
0.01904398202896118,0.09491316974163055,0.021063007414340973,0.10082841664552689,6.25000029685907e-05
0.019024111330509186,0.09491603821516037,0.020953280851244926,0.10046486556529999,6.25000029685907e-05
0.019054697826504707,0.09488530457019806,0.020974384620785713,0.10060188174247742,6.25000029685907e-05
0.019021380692720413,0.09474410861730576,0.020982496440410614,0.10060188919305801,3.125000148429535e-05
0.019099216908216476,0.09508994966745377,0.02096307836472988,0.10068956762552261,3.125000148429535e-05
