split,n_rows,mae,rmse,r2,mbe
train_model,92223,70.90837270440247,104.6915341556724,0.8927820731500138,0.2166987726818421
train_persistence,92223,165.41630291873457,215.43340375782938,0.5459848303820461,3.025285960602588
valid_model,25336,94.93037357073241,136.99970638597875,0.8146639137147662,-2.759028789431772
valid_persistence,25336,167.50815615875538,220.18781700495907,0.5212516539209822,2.3526225205669453
test_model,10665,202.9834477505303,276.6403870149254,-0.3121002936887798,171.11295548639526
test_persistence,10665,104.89167786615268,147.6411442835872,0.6262762734539614,3.6659354331052025
