fold,period,n_train_eff,n_test,best_iter,r2,mae,rmse,skill_vs_sp
1,2023-01..2023-07,15048,10121,49,0.6109617021861351,147.14515943300043,202.3119278743059,0.1268195398366001
2,2023-07..2024-01,23544,11095,364,0.6420264603136319,136.6884308658124,187.3144840529689,0.13396202508327093
3,2024-01..2024-07,34124,10468,102,0.6664133476213632,134.0058985959253,184.2553741842725,0.19280984252489164
4,2024-07..2025-01,44983,10238,483,0.6683998823421686,129.79801829369228,182.84085733123845,0.20483331411813344
5,2025-01..end,55213,21386,512,0.7263301163207269,120.0365459426805,166.03825193404933,0.21010992003660123
