pair,dR2,ci_lo,ci_hi,p,sig_0.05
catboost-lgbm,0.0005,-0.0016,0.0025,0.6168,no
catboost-mlp,0.0842,0.0169,0.1728,0.004,YES
catboost-transformer,0.0094,0.0032,0.0176,0.0004,YES
lgbm-mlp,0.0837,0.0159,0.1729,0.01,YES
lgbm-transformer,0.0089,0.0017,0.0179,0.0112,YES
mlp-transformer,-0.0748,-0.1558,-0.0131,0.02,YES
catboost-lstm,0.0314,0.0248,0.0392,0.0,YES
lgbm-lstm,0.0309,0.0236,0.0395,0.0,YES
mlp-lstm,-0.0528,-0.1374,0.0123,0.15,no
transformer-lstm,0.022,0.0156,0.0286,0.0,YES
