horizon_min,n_test,sp_r2,lgbm_r2,mae,rmse,skill_vs_sp
10,21345,0.7458,0.8704,68.6,112.4,0.2859
20,21386,0.6312,0.8105,90.0,135.6,0.2832
30,21386,0.5534,0.7751,102.3,147.8,0.2903
40,21386,0.4934,0.7509,110.4,156.0,0.2988
50,21386,0.453,0.7328,116.6,162.6,0.3011
60,21313,0.4233,0.72,121.2,167.6,0.3032
