horizon_min,n_test,sp_r2,lgbm_r2,mae,rmse,skill_vs_sp,best_iter
10,21345,0.7458,0.8705,68.5,112.3,0.2863,198
20,21386,0.6312,0.8107,90.0,135.6,0.2836,244
30,21386,0.5534,0.7752,102.2,147.7,0.2905,414
40,21386,0.4934,0.7499,110.5,156.3,0.2973,411
50,21386,0.453,0.7339,116.4,162.3,0.3025,345
60,21313,0.4233,0.7217,121.1,167.1,0.3053,358
