column,n_nonnull,sentinel_pct,sentinel_n,stuck_run_pct_daytime_nonzero,stuck_run_n_daytime_nonzero
ghi,235497,0.002,4,0.006,13
dni,235368,0.0,0,2.256,5309
dhi,235497,0.0,0,0.0,0
clp_cot,114017,0.0,0,0.0,0
