K,mae,rmse,r2
10,104.33661359595192,146.75086927150303,0.7873418262432846
15,101.18153078613992,142.31868518392665,0.7999932924080834
20,101.10923703745057,141.75433404155083,0.8015763623782741
25,96.33138137235862,137.43802622352572,0.8134760799556524
30,95.01981777585115,136.85908498782226,0.8150441896244354
40,95.46967852101689,136.4140407943812,0.8162451281543495
50,95.23084467780085,135.8849111198943,0.817667878838074
60,94.97465006563117,136.27329329010823,0.8166241169614323
80,94.98865645169882,135.99771831094193,0.8173650208996766
100,95.25674119807331,136.00263064709583,0.8173518268457606
143,95.32994942869917,135.74114451725396,0.8180534904934188
