model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,split
persistence,66247,164.71950768147175,213.51127925336246,0.5530429582310319,2.3148164300972485,0.0,train
lgbm_direct,66247,73.94036255519225,108.33095099834189,0.8849387070167803,0.0009180698611004519,0.49262188219203484,train
lgbm_residual,66247,75.46453452439279,111.6488760679902,0.8777826536797267,0.5858354022091904,0.4770820705190828,train
lgbm_direct_bagged,66247,73.34539213839066,107.56846672663642,0.8865527180505886,0.02339142597783701,0.49619304842911527,train
persistence,25976,167.1933507352941,220.25950307501043,0.5280736943079425,4.8372075415768405,0.0,valid
lgbm_direct,25976,83.97576000833776,127.93945996990827,0.84077403032833,0.23316371781955728,0.41914215648467223,valid
lgbm_residual,25976,83.37645549447966,127.62614500751123,0.8415529423655609,2.2418181584043073,0.42056463750375606,valid
lgbm_direct_bagged,25976,83.78366900093907,127.77361271796742,0.8411865703494171,0.281977783472496,0.41989511946527225,valid
persistence,25336,167.50815615875538,220.18781700495907,0.5212516539209822,2.3526225205669453,0.0,test
lgbm_direct,25336,94.81773697055021,135.440361671744,0.8188589317051107,1.9873889628280104,0.38488712266631164,test
lgbm_residual,25336,95.08563371723933,134.76044851022843,0.8206730299791815,-2.176243066033347,0.38797500087303494,test
lgbm_direct_bagged,25336,94.78883664407705,135.43802759231718,0.8188651749547972,2.076919311428453,0.38489772306854353,test
stacked_meta,25336,94.13779543990952,134.6303159799917,0.8210191998706465,-1.2446682656571775,0.3885660078234049,test
blend_50_direct_50_bagged,25336,94.77618441406162,135.39849891932687,0.8189708908241013,2.032154137128232,0.3850772455940311,test
