model,target,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,split
persistence,point,24718,160.18939208984375,208.20981755191085,0.4176357388496399,7.973703384399414,0.0,test
lgbm_residual,point,24718,95.59365538777419,140.0443552183311,0.7365346540956645,2.0849232563980014,0.3273883197970947,test
persistence,avg,24718,103.65917205810547,138.8853787750892,0.6965032815933228,3.469172477722168,0.0,test
lgbm_residual,avg,24718,61.61555859785489,91.61222745139715,0.867947138005449,0.8632981424100283,0.3403752917738456,test
