model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,split
persistence,66247,164.71950768147175,213.51127925336246,0.5530429582310319,2.3148164300972485,0.0,train
lgbm_direct,66247,73.7565136791377,108.65307431771728,0.8842534175350899,0.01294325818894055,0.49111318756708644,train
lgbm_residual,66247,75.35267875444428,111.57841403756923,0.8779368686659375,0.5450180194993444,0.4774120860136617,train
lgbm_direct_bagged,66247,72.99453618727665,107.5825886428733,0.8865229286852555,0.024101341956466408,0.49612690711664564,train
persistence,25976,167.1933507352941,220.25950307501043,0.5280736943079425,4.8372075415768405,0.0,valid
lgbm_direct,25976,83.29499285498262,127.8315996577284,0.8410423904323543,1.3454118914591993,0.4196318530047952,valid
lgbm_residual,25976,82.95882382117092,127.78374493770154,0.8411613821069875,2.9535744021545267,0.41984911818227355,valid
lgbm_direct_bagged,25976,83.12475543163613,127.73316224154014,0.8412871085104772,1.2266201959185437,0.4200787686420958,valid
persistence,25336,167.50815615875538,220.18781700495907,0.5212516539209822,2.3526225205669453,0.0,test
lgbm_direct,25336,95.46967852101689,136.4140407943812,0.8162451281543495,-0.24497492300892842,0.38046508362763376,test
lgbm_residual,25336,95.73264389949686,135.0923519140185,0.8197886083587951,1.0706446711636914,0.38646763589569555,test
lgbm_direct_bagged,25336,94.94503387080677,136.172884493761,0.8168942471958849,0.10051830011715278,0.38156031361765075,test
stacked_meta,25336,95.25516491646422,135.271695670098,0.819309806402918,-1.216375949568659,0.3856531323572211,test
blend_50_direct_50_bagged,25336,95.17747208984403,136.24919076492404,0.8166889782540248,-0.07222831144588775,0.3812137627857247,test
