fold,period,n_train_eff,n_es,n_test,best_iter,r2,mae,rmse,skill_vs_sp
1,2023-01..2023-07,30085,5591,11548,225,0.777258818288739,98.66865810361058,140.49987262710584,0.2315932527783251
2,2023-07..2024-01,41439,5785,11890,276,0.8092332564374699,87.6670691507685,128.6862222957146,0.2541161092805251
3,2024-01..2024-07,53019,6095,11578,271,0.7755058460230274,102.56274568775939,148.17949421485602,0.25152656705930554
4,2024-07..2025-01,64948,5744,11648,469,0.8201981874475553,83.69039258074041,124.10523179137898,0.27400945167460133
5,2025-01..end,76548,5792,22711,309,0.7899127277499214,96.93952986193055,137.68334477277673,0.2596200713299117
