,fold,n_train_eff,n_es,n_test,best_iter,r2,mae,rmse,skill_vs_sp
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,3.0,53207.8,5801.4,13875.0,310.0,0.7944217671893427,93.90567907696189,135.83083314036645,0.25417309042453373
std,1.5811388300841898,18410.6043545561,183.11280676129672,4941.300132556208,93.78699270154684,0.019726342668349783,7.907391385732384,9.56891256264857,0.015329768666954402
min,1.0,30085.0,5591.0,11548.0,225.0,0.7755058460230274,83.69039258074041,124.10523179137898,0.2315932527783251
25%,2.0,41439.0,5744.0,11578.0,271.0,0.777258818288739,87.6670691507685,128.6862222957146,0.25152656705930554
50%,3.0,53019.0,5785.0,11648.0,276.0,0.7899127277499214,96.93952986193055,137.68334477277673,0.2541161092805251
75%,4.0,64948.0,5792.0,11890.0,309.0,0.8092332564374699,98.66865810361058,140.49987262710584,0.2596200713299117
max,5.0,76548.0,6095.0,22711.0,469.0,0.8201981874475553,102.56274568775939,148.17949421485602,0.27400945167460133
