fold,test_period,n_train_eff,n_es,n_test,best_iter,r2,mae,rmse
1,2023-01..2023-07,33915,6159,13002,221,0.8296712011513747,88.45077615596293,132.2344967585768
2,2023-07..2024-01,46613,6463,13171,275,0.8496745870453564,79.46683276030377,121.29014704554426
3,2024-01..2024-07,59567,6680,13033,199,0.8212914671844003,91.9375405206024,139.34409854658242
4,2024-07..2025-01,72865,6415,12943,707,0.8592110070811745,74.69131693163817,116.80081031680787
5,2025-01..end,85842,6381,25336,661,0.817422167161063,96.53850524589876,135.97643988652504
