model,target,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,split
persistence,point,24778,185.88495953714101,245.19883071740458,0.45204226582071183,8.481442396073854,0.0,test
lgbm_residual,point,24778,116.03727257716147,166.52256496730763,0.7472701992069032,8.373320372342128,0.32086721425181897,test
persistence,avg,24778,119.29666354008454,162.8474731447628,0.7205637739961723,3.727954274622413,0.0,test
lgbm_residual,avg,24778,73.95931214613545,109.09759078099279,0.8745845678019866,8.110855225830944,0.33006273493718385,test
