horizon_min,n_test,sp_r2,lgbm_r2,mae,rmse,skill_vs_sp
10,24317,0.8488,0.8754,55.3,92.7,0.0922
20,24015,0.7333,0.804,74.5,115.9,0.1427
30,23651,0.6574,0.7629,85.0,127.1,0.168
40,23287,0.6019,0.7302,92.9,135.3,0.1767
50,22923,0.5467,0.7008,99.9,142.4,0.1876
60,22559,0.4955,0.6744,106.1,148.6,0.1966
