model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
direct_regularized_all,48,34.26887735141991,45.44840171514225,-0.06759946251640758,-13.363794953489117,0.5687708014810576,hour,5
direct_regularized_all,1736,54.02463010296823,68.06362302122989,0.4168991935376678,23.460895977773596,0.5551621601947976,hour,6
direct_regularized_all,2169,81.69885606338111,102.48818563131591,0.47582780296388427,12.542234531948257,0.5125577606000222,hour,7
direct_regularized_all,2175,105.14518377848881,132.35434410677792,0.4897773391573088,-0.3436252571662695,0.4236067861994294,hour,8
direct_regularized_all,2157,138.8582943090852,174.1890703400507,0.4104535157394186,15.202196301538526,0.2517054911725658,hour,9
direct_regularized_all,2174,139.76787888509887,177.2170838763173,0.45443477286216294,3.005663726356036,0.24262413209944578,hour,10
direct_regularized_all,2130,143.11760240823293,180.94454258029072,0.39875369477673683,0.09762757484062445,0.1870156036867291,hour,11
direct_regularized_all,2161,152.1163843464267,191.91747645928046,0.3320743071343487,5.562048276683502,0.19073305719502942,hour,12
direct_regularized_all,2139,149.16384436234023,182.44233958395102,0.38610873629168474,-11.39777754998331,0.3454184651484269,hour,13
direct_regularized_all,2152,125.02618558280722,152.25560213399066,0.36880514138615006,-10.029130405082402,0.46032829351389104,hour,14
direct_regularized_all,2143,79.99020483100625,97.04495913406853,0.38833969877794516,27.415790373119712,0.5952438176823257,hour,15
direct_regularized_all,2138,26.279189973721035,35.90175654379741,0.5806795830304946,11.070278133041366,0.7866470635788929,hour,16
direct_regularized_all,394,17.682209184092702,20.816710650562985,-2.174466767477661,16.170975815000578,0.8311847432020725,hour,17
direct_regularized_all,2369,56.05192916773142,70.87389344630513,0.5267934366362453,21.281202493422725,0.5608906877979131,solar_segment,low
direct_regularized_all,6146,61.70354161346275,87.7226451083596,0.8254261308865616,8.962030673083385,0.5556427120064291,solar_segment,medium
direct_regularized_all,15201,134.78952054207733,169.56815244853857,0.6274106706059637,3.6464490693542837,0.3183374099518259,solar_segment,high
direct_regularized_all,3496,60.82306403031487,98.27624495727186,-9.439632136292605,57.94790863470758,0.49229326367925297,target_ghi_bin,0-100
direct_regularized_all,5260,97.55228510621309,140.57121801388968,-4.994579413756237,79.59248830159146,0.42921247168192966,target_ghi_bin,100-300
direct_regularized_all,6696,121.08318051902191,154.99201289193053,-2.2344589173736726,46.61783978690111,0.33175694838671477,target_ghi_bin,300-600
direct_regularized_all,6004,107.69677658816578,134.84959875109584,-1.4480903750762164,-66.97938425054357,0.38445267101844594,target_ghi_bin,600-900
direct_regularized_all,2254,166.12540368869432,194.87079784649052,-10.182861411776509,-165.78734764876225,0.22007697672210247,target_ghi_bin,900+
direct_regularized_all,2049,92.19955480944925,130.62919108274392,0.8100763826918911,2.456321315988472,0.3927339839523504,month,1
direct_regularized_all,1870,111.03755850645693,145.0005376357157,0.7989374890097728,14.157610199374943,0.35343595851990073,month,2
direct_regularized_all,2026,116.72246335353661,153.60127622324413,0.7824881929424589,15.713351226447006,0.37271387254171895,month,3
direct_regularized_all,1943,110.12955164599414,145.61245662805354,0.7786791458057689,17.220507853487856,0.39727812831659914,month,4
direct_regularized_all,2009,93.92250237900947,123.77611139918535,0.812990631170545,-5.648694290527434,0.4244559342584635,month,5
direct_regularized_all,1875,91.2977364050679,125.90963682308434,0.781114907352106,9.489806931470707,0.3726027109161958,month,6
direct_regularized_all,2014,96.03844413547385,127.16723350891465,0.7869540731968625,-7.352828807886342,0.39621436994618786,month,7
direct_regularized_all,1990,110.57915537983598,145.8866829828644,0.7707726366868941,-5.4611518232001295,0.3645942100223485,month,8
direct_regularized_all,1977,129.46352941602134,172.07304468496733,0.7253509546312231,19.81621172729128,0.3530592503328758,month,9
direct_regularized_all,1880,124.52500052036922,168.29928047628556,0.7149022332162284,21.286791207315982,0.33251349686823284,month,10
direct_regularized_all,2014,108.58008397976914,143.0874745001262,0.7752522992408365,5.383902144473997,0.3528147583852632,month,11
direct_regularized_all,2069,112.05884021173217,146.7341880230027,0.7640551873809349,-3.230941063133312,0.324499289029925,month,12
direct_regularized_all,578,139.97205618279347,174.3523613406738,0.6619228439388123,5.226105532536662,0.23438469995135092,has_clp,False
direct_regularized_all,23138,107.18509120240128,143.83702404839056,0.7767576099109544,6.824478888803578,0.37150780954560947,has_clp,True
direct_regularized_all,1790,53.733323302328216,68.01870054712504,0.4327671480943326,22.814322904577647,0.5525181282913216,has_synop,False
direct_regularized_all,21926,112.41310955047194,149.18568140470433,0.7588552696987947,5.47696084683706,0.36243815818218283,has_synop,True
