ts_wib,target_ts_60m,target_ghi_60m,ghi_now,hour,month,solar_elev_deg,solar_segment,target_ghi_bin,has_clp,has_synop,clp_qc_status,synop_qc_status,persistence,direct_all_features,direct_no_cloud_features,direct_rad_met_features,direct_regularized_all,direct_deeper_all,direct_smooth_all,direct_top20,direct_top40,direct_top60,ensemble_direct_mean,ensemble_best2_mean,best_model_prediction,best_model_error,persistence_error
2025-01-02 11:30:00,2025-01-02 12:30:00,0.0,960.2,11,1,68.61107462881553,high,,True,True,ok,ok,960.2,958.2335394233965,950.3343391908521,933.9556954187965,968.3385610546102,962.6252887087578,960.8661948375677,965.6585446387007,977.4804695520462,976.4885394167031,961.5534635823811,972.4135502356567,968.3385610546102,968.3385610546102,960.2
2025-01-02 11:20:00,2025-01-02 12:20:00,0.0,951.3,11,1,67.4257645495826,high,,True,True,ok,ok,951.3,964.0437759510854,958.2673588751651,964.9348084838545,967.1236828429281,968.2731520606924,963.744488049691,973.1970943849014,981.3379937039265,983.6116162392932,969.3926633990598,975.3676495411107,967.1236828429281,967.1236828429281,951.3
2025-01-02 11:40:00,2025-01-02 12:40:00,0.0,966.5714285714286,11,1,69.57810076316028,high,,True,True,ok,ok,966.5714285714286,953.5146698638761,953.9541726639428,956.6046900302017,964.8730342220233,956.8131684182239,960.8661948375677,965.2762233277609,977.3976535120016,978.4928574013343,963.0880738085481,971.6829458116788,964.8730342220233,964.8730342220233,966.5714285714286
2025-08-15 12:50:00,2025-08-15 13:50:00,1049.3,894.9,12,8,69.43659375286741,high,900+,True,True,ok,ok,894.9,305.85799471195685,601.8235604882509,606.9745374834729,339.511246646022,362.4950480280676,452.90375712207145,237.43363100531835,317.31015082169176,294.2251944824503,390.94834675436687,316.86822056423614,339.511246646022,-709.7887533539779,-154.39999999999998
2025-08-23 09:50:00,2025-08-23 10:50:00,137.9,562.6899999999999,9,8,52.007501117346024,high,100-300,True,True,ok,ok,562.6899999999999,819.6322167376885,832.3960900009914,833.1743389208492,815.5012532030761,821.9404625984549,870.3296367916678,841.3132039026215,810.1918455173939,824.0243907884673,829.8337153845789,819.7628219957717,815.5012532030761,677.6012532030761,424.78999999999996
2025-08-23 10:00:00,2025-08-23 11:00:00,122.09,442.57000000000005,10,8,54.260188706800626,high,100-300,True,True,ok,ok,442.57000000000005,791.6958955663395,832.1766083834694,834.82329102593,796.8322745517008,810.9032749534774,844.4268921334976,794.1384477088955,789.5899097413073,791.3134103003903,809.5444449294454,794.0728424260456,796.8322745517008,674.7422745517008,320.48
2025-08-15 13:00:00,2025-08-15 14:00:00,1032.8,927.8,13,8,68.16724781805897,high,900+,True,True,ok,ok,927.8,339.58063876549113,560.3543636517012,594.9674651702368,359.6131703902919,353.4362658353783,475.6838913265161,267.99002786377866,336.4123654675554,331.4916445780899,402.16998144989327,345.5524074841909,359.6131703902919,-673.1868296097081,-105.0
2025-08-23 10:10:00,2025-08-23 11:10:00,163.37,589.3299999999999,10,8,56.47995377031132,high,100-300,True,True,ok,ok,589.3299999999999,848.5755848586961,856.1369701178163,863.2134388345625,835.928685005187,853.4088606103528,883.4991609948784,859.9511208279206,838.065488088507,846.9438450025613,853.9692393711646,841.4362650038742,835.928685005187,672.558685005187,425.9599999999999
2025-10-24 09:10:00,2025-10-24 10:10:00,41.698,946.8,9,10,49.59500659471245,high,0-100,True,True,ok,ok,946.8,719.0651143745843,716.6323373651362,685.3222763547634,713.5407236273697,718.2148465744967,788.736267321513,708.4351553563284,723.7043595020921,727.8305788843351,722.3868510400688,720.6856512558525,713.5407236273697,671.8427236273698,905.102
2025-12-07 13:10:00,2025-12-07 14:10:00,1040.0,1147.7,13,12,64.43853108974834,high,900+,True,True,ok,ok,1147.7,362.9176890219142,336.12511104394315,360.7466644161375,371.9511823205547,344.84440359885116,415.60224994456945,336.01236180534477,354.4979320426979,301.430465412296,353.7920066229233,336.6908238664254,371.9511823205547,-668.0488176794453,107.70000000000005
2025-10-17 12:30:00,2025-10-17 13:30:00,126.67999999999999,915.85,12,10,79.14122603082974,high,100-300,True,True,ok,ok,915.85,773.8838683336651,797.5114415775229,794.9205975638741,776.3163761614594,768.1181266737981,824.4079491550798,773.8413054990406,783.5040209420241,785.3158512401319,786.4243930162884,780.8161137007957,776.3163761614594,649.6363761614595,789.1700000000001
2025-09-25 14:00:00,2025-09-25 15:00:00,799.8,137.94,14,9,59.31131225183459,high,600-900,True,True,ok,ok,137.94,158.90391484675249,164.7919657470042,204.83401233770704,163.40096592903484,164.91932747115777,158.88151930213883,219.7741467818933,177.6138196127912,186.31382083266422,177.7148325401271,174.85739338084954,163.40096592903484,-636.3990340709652,-661.8599999999999
