,fold,n_train_eff,n_es,n_test,best_iter,r2,mae,rmse,skill_vs_sp
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,3.0,18429.4,2372.0,5471.6,282.2,0.6248882045389875,119.80436875304983,160.84902439301794,0.2170782272503951
std,1.5811388300841898,7224.112907478675,463.11985489719615,2514.412515877218,157.661663063663,0.053298761427940794,4.013141304689722,5.103899046067365,0.027172055078416114
min,1.0,8701.0,1855.0,2982.0,162.0,0.5372321952860457,113.80107821050271,152.8178502911586,0.18656003544987598
25%,2.0,14116.0,2034.0,4047.0,190.0,0.6210789036620252,119.07949145750955,160.35463043584662,0.1970708754181727
50%,3.0,19163.0,2321.0,4802.0,232.0,0.6347724353900603,119.1786132775622,160.62126124820446,0.212129541152963
75%,4.0,23293.0,2647.0,6016.0,273.0,0.6547354613066966,123.02056792887394,164.486542033333,0.2394096241031659
max,5.0,26874.0,3003.0,9511.0,554.0,0.6766220270501098,123.9420928908008,165.96483795654694,0.2502210601277979
