fold,period,n_train_eff,n_es,n_test,best_iter,r2,mae,rmse,skill_vs_sp
1,2023-01..2023-07,8701,2647,4802,232,0.6210789036620252,119.07949145750955,160.62126124820446,0.212129541152963
2,2023-07..2024-01,14116,2034,6016,190,0.6347724353900603,123.9420928908008,165.96483795654694,0.1970708754181727
3,2024-01..2024-07,19163,3003,2982,162,0.5372321952860457,119.1786132775622,160.35463043584662,0.18656003544987598
4,2024-07..2025-01,23293,1855,4047,554,0.6547354613066966,123.02056792887394,164.486542033333,0.2502210601277979
5,2025-01..end,26874,2321,9511,273,0.6766220270501098,113.80107821050271,152.8178502911586,0.2394096241031659
