r2,mae,rmse,skill_vs_sp,model,seed,type
0.7278,120.0,165.6,0.2122,catboost,0,GBM
0.7264,120.3,166.0,0.2103,lgbm,0,GBM
0.672,133.0,181.8,0.1352,lstm,0,DL
0.674,133.7,181.2,0.1378,lstm,1,DL
0.6694,134.5,182.5,0.1318,lstm,2,DL
0.7219,123.1,167.4,0.2037,mlp,0,DL
0.7214,122.9,167.5,0.203,mlp,1,DL
0.7221,122.6,167.3,0.2041,mlp,2,DL
0.7221,121.7,167.3,0.204,transformer,0,DL
0.724,120.0,166.7,0.2068,transformer,1,DL
0.7208,119.8,167.7,0.2022,transformer,2,DL
